A,B,C,logE,t
META,^VIX,AAPL,-0.0013081529558896306,
NVDA,^VIX,META,-0.0014823350066230168,
JPM,TLT,XOM,-0.001501883484412648,
AMZN,GLD,TSLA,-0.0015037390569226801,
MSFT,XOM,USO,-0.0015738832638961683,
TSLA,AAPL,XOM,-0.0016279556946375594,
META,USO,^VIX,-0.0017159414216029029,
AAPL,GLD,META,-0.0018070127739439478,
TSLA,NVDA,USO,-0.0018072397590218135,
AMZN,JPM,TLT,-0.001814097097459643,
AMZN,GLD,NVDA,-0.0020233159611569573,
AAPL,XOM,GLD,-0.0022074392617855935,
AAPL,AMZN,^VIX,-0.002283686457018613,
AMZN,TLT,AAPL,-0.0023296855510556752,
NVDA,JPM,AAPL,-0.0023517877526999013,
MSFT,TLT,NVDA,-0.002546675710840667,
AMZN,META,^VIX,-0.002644391707224642,
AMZN,META,TLT,-0.002993275906166646,
NVDA,JPM,^VIX,-0.0030475539833694208,
XOM,USO,MSFT,-0.003121762417335609,
AAPL,USO,TLT,-0.0031874121209357117,
META,XOM,USO,-0.0035958635555687446,
XOM,TLT,GLD,-0.004081976168411313,
MSFT,^VIX,TSLA,-0.004147472442891078,
TSLA,NVDA,TLT,-0.004201372802059327,
TSLA,TLT,MSFT,-0.004440042841766489,
TSLA,MSFT,^VIX,-0.004717805066912613,
META,GLD,TSLA,-0.004845604051169227,
NVDA,AMZN,XOM,-0.005173177100427008,
JPM,GLD,MSFT,-0.005211325523807149,
MSFT,^VIX,META,-0.0053081239122131085,
NVDA,AMZN,AAPL,-0.005596595786899474,
TSLA,TLT,XOM,-0.005928380895502373,
TSLA,AMZN,TLT,-0.005944353598139546,
GLD,TLT,AMZN,-0.0060625224719518134,
NVDA,META,TSLA,-0.006242320519075685,
AMZN,META,AAPL,-0.00665255750174201,
NVDA,TLT,GLD,-0.007189386903698015,
TSLA,NVDA,AAPL,-0.007295926805813207,
NVDA,GLD,USO,-0.007327737126711098,
MSFT,TLT,GLD,-0.00781965843591466,
TSLA,AAPL,NVDA,-0.008196205778740893,
AAPL,GLD,TSLA,-0.00822284197933214,
TSLA,TLT,META,-0.008836981581246283,
TSLA,USO,NVDA,-0.009228830812824777,
JPM,GLD,TSLA,-0.009551964440671398,
MSFT,JPM,^VIX,-0.009723440822656838,
AAPL,TLT,NVDA,-0.01151340851522983,
AAPL,MSFT,GLD,-0.011540054129189969,
TSLA,META,USO,-0.011590752365977251,
MSFT,AMZN,AAPL,-0.011698101285065567,
NVDA,MSFT,JPM,-0.01211646947552071,
JPM,TLT,GLD,-0.012586035965835482,
AAPL,GLD,USO,-0.01270769759741554,
META,JPM,^VIX,-0.013284337052997414,
NVDA,META,AAPL,-0.013305025787831989,
NVDA,USO,AMZN,-0.014047665498879421,
TSLA,NVDA,MSFT,-0.014085045219154785,
AMZN,GLD,JPM,-0.014213823445231236,
META,XOM,^VIX,-0.014495990022241004,
NVDA,META,JPM,-0.015346759131582009,
NVDA,XOM,AMZN,-0.01545775911941452,
AAPL,GLD,TLT,-0.01618412959687777,
JPM,TLT,^VIX,-0.016426268521661794,
META,GLD,USO,-0.017622289115088476,
NVDA,TLT,TSLA,-0.018697669098583256,
XOM,GLD,JPM,-0.0202032151537051,
NVDA,META,^VIX,-0.02020572840788065,
AMZN,USO,NVDA,-0.02114564758053391,
NVDA,JPM,GLD,-0.02114727009282272,
AMZN,XOM,MSFT,-0.022916863241727037,
NVDA,XOM,JPM,-0.02342590511395888,
AMZN,META,NVDA,-0.02358560249400708,
NVDA,TLT,JPM,-0.02405361131666848,
TSLA,META,TLT,-0.024253254158156053,
TLT,^VIX,JPM,-0.02618757478519585,
NVDA,GLD,AMZN,-0.02623051608498346,
GLD,USO,NVDA,-0.026541171454572524,
TSLA,GLD,NVDA,-0.027574231970638994,
NVDA,JPM,AMZN,-0.028686398384591118,
JPM,GLD,USO,-0.03533057239063344,
AAPL,META,JPM,-0.03550778672698663,
XOM,USO,AMZN,-0.03646079371711099,
AAPL,GLD,^VIX,-0.037876288753943804,
NVDA,USO,MSFT,-0.03820544180231213,
JPM,GLD,AAPL,-0.03823886402375448,
AAPL,AMZN,TLT,-0.03826042654151553,
META,JPM,AAPL,-0.04204324409271621,
MSFT,^VIX,AMZN,-0.042132016294433444,
NVDA,XOM,TLT,-0.04297820034466978,
TSLA,MSFT,NVDA,-0.0455482662015811,
XOM,USO,^VIX,-0.04736224541983902,
META,JPM,USO,-0.05126046250802595,
NVDA,JPM,XOM,-0.052713162988528836,
META,USO,XOM,-0.05314516970893884,
MSFT,^VIX,NVDA,-0.054496949711159044,
AMZN,TLT,^VIX,-0.057281253107183974,
MSFT,META,^VIX,-0.05794485202724025,
AMZN,GLD,META,-0.05813756337696439,
NVDA,JPM,TLT,-0.05967347305195328,
NVDA,MSFT,AMZN,-0.06093113337624442,
MSFT,USO,^VIX,-0.06158170429129561,
NVDA,AAPL,USO,-0.06660424765226206,
TSLA,AMZN,NVDA,-0.06672439596256469,
TSLA,NVDA,XOM,-0.0673464148973618,
NVDA,^VIX,MSFT,-0.06742141447870524,
NVDA,AAPL,TSLA,-0.0701843408688555,
NVDA,JPM,MSFT,-0.07050065779370807,
NVDA,AMZN,MSFT,-0.07072457673011753,
AAPL,USO,TSLA,-0.07159738435580697,
META,TLT,^VIX,-0.07205539181867784,
JPM,XOM,^VIX,-0.0804594129166136,
AMZN,TLT,USO,-0.08144820678851442,
NVDA,XOM,GLD,-0.08197552152270346,
AMZN,META,MSFT,-0.08554506532321536,
NVDA,AAPL,AMZN,-0.08816915403951127,
AAPL,GLD,MSFT,-0.08847573198742172,
AMZN,JPM,TSLA,-0.09164592177653773,
AAPL,META,^VIX,-0.09201745774198108,
AAPL,JPM,TLT,-0.0920698924706175,
AAPL,USO,^VIX,-0.09378984042414862,
NVDA,^VIX,XOM,-0.09442769946375776,
NVDA,TLT,XOM,-0.09537050597917998,
GLD,TLT,NVDA,-0.09605233824459898,
NVDA,META,MSFT,-0.09686852239577523,
META,GLD,XOM,-0.09984278489994793,
MSFT,AMZN,TLT,-0.09994393040488685,
AAPL,META,MSFT,-0.10400455968294953,
META,JPM,TLT,-0.10815998440765298,
AMZN,XOM,META,-0.10973506355022282,
META,XOM,MSFT,-0.11135449510463497,
NVDA,GLD,JPM,-0.11260045800110045,
AAPL,TLT,JPM,-0.12366710799866465,
META,GLD,AAPL,-0.12434453813318874,
META,^VIX,TLT,-0.12788727099249506,
META,^VIX,GLD,-0.12914617589396074,
META,JPM,TSLA,-0.13384876779036034,
AMZN,JPM,USO,-0.13932316379422452,
XOM,GLD,^VIX,-0.14478509235518688,
AAPL,JPM,TSLA,-0.16596697339258892,
MSFT,META,NVDA,-0.16888640144588213,
TSLA,META,AMZN,-0.16960858622639624,
MSFT,JPM,AAPL,-0.17076444137969676,
META,GLD,JPM,-0.17644500030470492,
AAPL,^VIX,JPM,-0.18792763454543382,
MSFT,JPM,TSLA,-0.1881940667516115,
USO,^VIX,JPM,-0.19343209740932546,
MSFT,META,XOM,-0.19474437323110066,
JPM,XOM,USO,-0.19821283390506406,
XOM,USO,AAPL,-0.1986059493995386,
META,TLT,XOM,-0.2091891774889824,
AAPL,TLT,META,-0.2102053328089235,
AMZN,TLT,MSFT,-0.21183960135176425,
TSLA,TLT,^VIX,-0.2199100665885974,
NVDA,GLD,AAPL,-0.2218274439808939,
USO,TLT,^VIX,-0.2228940196612526,
XOM,USO,META,-0.2401545835621968,
META,TLT,AAPL,-0.25239488967561946,
NVDA,JPM,TSLA,-0.25526583293714383,
NVDA,GLD,XOM,-0.28024580868281146,
AAPL,JPM,NVDA,-0.28800336028319723,
GLD,TLT,^VIX,-0.2953873268468345,
MSFT,TLT,^VIX,-0.29590164169684197,
META,USO,AMZN,-0.2978156072846884,
NVDA,TLT,AMZN,-0.3108014182715143,
MSFT,AMZN,TSLA,-0.3159483692123141,
AAPL,JPM,USO,-0.32718206281025347,
AAPL,AMZN,MSFT,-0.32735377390598286,
MSFT,USO,NVDA,-0.33582407990001445,
MSFT,XOM,TSLA,-0.33685623780942847,
TSLA,META,AAPL,-0.3452308407746294,
AAPL,XOM,NVDA,-0.3799183136565943,
AAPL,XOM,AMZN,-0.4128317694074524,
TSLA,AMZN,MSFT,-0.41473022644969115,
AMZN,^VIX,MSFT,-0.4238090839119701,
AAPL,GLD,JPM,-0.42777617572878934,
NVDA,META,AMZN,-0.42796366186919,
JPM,USO,META,-0.44807922325556415,
AMZN,USO,TLT,-0.4493766650952848,
NVDA,USO,XOM,-0.4505317230220555,
NVDA,AAPL,XOM,-0.5006658457888774,
TSLA,^VIX,GLD,-0.5133923474788776,
AAPL,USO,META,-0.520117519904519,
META,USO,MSFT,-0.526777266605576,
GLD,USO,MSFT,-0.5484434114598884,
JPM,XOM,TLT,-0.5565409903024483,
JPM,USO,NVDA,-0.5606893524602851,
NVDA,AAPL,JPM,-0.5669326631629235,
TSLA,META,JPM,-0.6184068110006729,
AAPL,^VIX,TLT,-0.6237987751798117,
MSFT,TLT,USO,-0.6501582791457886,
TSLA,JPM,USO,-0.666953419017892,
JPM,USO,AMZN,-0.6707663211881466,
TSLA,GLD,AAPL,-0.6892404176882628,
MSFT,USO,AMZN,-0.7060124148215896,
JPM,^VIX,GLD,-0.7236699537220664,
AAPL,XOM,TSLA,-0.7266633099406695,
GLD,USO,AAPL,-0.7414721348592798,
TSLA,USO,^VIX,-0.748166775960931,
NVDA,TLT,META,-0.7562378091869281,
JPM,XOM,MSFT,-0.7632496985144241,
MSFT,USO,XOM,-0.7687480184405913,
TSLA,MSFT,AAPL,-0.773633262722561,
TSLA,GLD,MSFT,-0.7997897501605473,
META,GLD,MSFT,-0.8252076693988103,
META,TLT,NVDA,-0.8286448216331245,
AAPL,JPM,AMZN,-0.8339042716086648,
AAPL,XOM,TLT,-0.8420937628511487,
JPM,TLT,MSFT,-0.8840518639313726,
XOM,TLT,^VIX,-0.8960541264922881,
JPM,USO,TSLA,-0.9068788580980424,
JPM,TLT,AAPL,-0.9142443469710975,
GLD,TLT,JPM,-0.9231093208976032,
TSLA,TLT,AMZN,-0.9409432797155524,
META,XOM,TLT,-0.9453475537280016,
XOM,USO,NVDA,-0.9568462171130727,
AMZN,GLD,MSFT,-0.9614761696917155,
GLD,TLT,TSLA,-0.9767018995795913,
AMZN,JPM,GLD,-0.9773390704428105,
META,JPM,AMZN,-0.977882056671745,
JPM,USO,MSFT,-0.9900354632410012,
NVDA,XOM,USO,-0.9971682722198192,
TSLA,JPM,MSFT,-0.9974076772926962,
AMZN,META,TSLA,-0.9999999999999997,
JPM,TLT,META,-1.0004324005636176,
TSLA,JPM,AMZN,-1.0079760630355799,
AMZN,JPM,META,-1.008669397386609,
MSFT,META,USO,-1.0128175213633521,
META,^VIX,AMZN,-1.0169464678755977,
MSFT,USO,TSLA,-1.0212612935524517,
USO,TLT,TSLA,-1.0258698806200983,
NVDA,TLT,MSFT,-1.0529173990265703,
AMZN,TLT,META,-1.087501824720804,
NVDA,TLT,USO,-1.1155619378848853,
AMZN,META,USO,-1.115989872215783,
TSLA,MSFT,XOM,-1.1199364586469807,
META,TLT,TSLA,-1.1278471677140283,
AAPL,JPM,MSFT,-1.1649667972295727,
MSFT,JPM,XOM,-1.1664116646890472,
TSLA,MSFT,JPM,-1.1817577237387906,
AMZN,JPM,MSFT,-1.1925146355098997,
XOM,GLD,MSFT,-1.2121030760268934,
JPM,TLT,USO,-1.213494150309273,
TSLA,META,GLD,-1.2145412068252952,
AMZN,^VIX,META,-1.231494226474593,
TSLA,MSFT,GLD,-1.2370366299057667,
MSFT,META,JPM,-1.2717656006804299,
AMZN,XOM,TSLA,-1.2869727146721206,
META,JPM,GLD,-1.3171425647787691,
GLD,TLT,AAPL,-1.3348424711863478,
XOM,TLT,AAPL,-1.3508100237264529,
MSFT,XOM,GLD,-1.4477096671089358,
MSFT,USO,AAPL,-1.4581466025094931,
META,XOM,AMZN,-1.5112640197286389,
XOM,GLD,NVDA,-1.5631365928201157,
USO,^VIX,AMZN,-1.5853143690165656,
MSFT,GLD,USO,-1.5880606673149678,
TSLA,TLT,GLD,-1.6060883688360972,
NVDA,GLD,TSLA,-1.6389083513966984,
NVDA,USO,TSLA,-1.6643334936821672,
TSLA,USO,MSFT,-1.6734202333620931,
XOM,GLD,AAPL,-1.6798022949194384,
META,GLD,TLT,-1.7277584134661648,
META,JPM,MSFT,-1.730728073082818,
TSLA,TLT,AAPL,-1.7333521681916506,
AMZN,USO,TSLA,-1.7568487002769455,
TLT,^VIX,META,-1.767806646865035,
MSFT,TLT,AAPL,-1.8187330248903553,
JPM,GLD,XOM,-1.8452295006836965,
XOM,TLT,JPM,-1.8530874191047628,
AMZN,USO,AAPL,-1.909757897761949,
META,USO,NVDA,-1.9565736107266234,
JPM,^VIX,MSFT,-1.9723595213824434,
META,TLT,USO,-2.004005822376388,
XOM,GLD,TSLA,-2.019483638820498,
TSLA,JPM,GLD,-2.0342080214067657,
AMZN,USO,JPM,-2.057309351169714,
GLD,^VIX,NVDA,-2.077187358300973,
META,^VIX,MSFT,-2.084275281009872,
META,USO,TSLA,-2.1341820518166563,
USO,TLT,META,-2.1730084811262156,
AMZN,USO,^VIX,-2.2129502481684846,
META,TLT,MSFT,-2.221509946503343,
NVDA,META,USO,-2.2397053465428467,
MSFT,XOM,JPM,-2.3233295143830968,
AAPL,TLT,MSFT,-2.3313763312720877,
TSLA,AAPL,MSFT,-2.3372652451538483,
MSFT,JPM,USO,-2.354416149890129,
TSLA,USO,JPM,-2.3783157347466353,
AAPL,^VIX,MSFT,-2.409853311481649,
MSFT,GLD,AAPL,-2.4129723452198224,
MSFT,XOM,^VIX,-2.413162353342084,
AMZN,^VIX,TLT,-2.4484736642872904,
JPM,XOM,TSLA,-2.47584690003117,
USO,TLT,AAPL,-2.4981634255658163,
NVDA,AMZN,USO,-2.5620083765271624,
AAPL,JPM,GLD,-2.588177674400704,
AMZN,XOM,^VIX,-2.623022119170459,
AMZN,XOM,USO,-2.6403118936184566,
USO,^VIX,GLD,-2.693179162730019,
XOM,USO,TSLA,-2.7267254758374198,
META,USO,TLT,-2.7311852774436045,
USO,TLT,MSFT,-2.752120776390434,
USO,^VIX,TSLA,-2.763809010389548,
MSFT,JPM,GLD,-2.7763841874669404,
TSLA,^VIX,MSFT,-2.7865431461597345,
TSLA,^VIX,TLT,-2.8048180304732475,
XOM,TLT,MSFT,-2.8352773903661097,
JPM,GLD,AMZN,-2.8373180122723864,
XOM,TLT,NVDA,-2.8456759707978354,
XOM,^VIX,GLD,-2.912676220585273,
GLD,^VIX,META,-2.9444238857435523,
JPM,USO,GLD,-2.9824255242442237,
GLD,^VIX,AMZN,-3.033826078720854,
MSFT,USO,META,-3.0897630293478016,
MSFT,USO,GLD,-3.1676923461090185,
MSFT,GLD,JPM,-3.2214538245392963,
JPM,TLT,TSLA,-3.228504017320898,
TSLA,JPM,META,-3.261595243452963,
AMZN,USO,MSFT,-3.2823337668121018,
TSLA,AAPL,TLT,-3.4224131531371715,
MSFT,META,TLT,-3.4937398269457827,
XOM,TLT,USO,-3.6988649187059823,
JPM,TLT,AMZN,-3.7534702236854227,
GLD,USO,META,-3.8836350117796616,
TSLA,USO,TLT,-3.99072760661185,
USO,^VIX,NVDA,-3.9981850830329164,
GLD,TLT,MSFT,-4.089078330356263,
GLD,^VIX,TSLA,-4.093107298482257,
TLT,^VIX,MSFT,-4.17138220801373,
