A,B,C,logE,t
AAPL,MSFT,NVDA,-0.7661050662596212,221.0
GLD,TLT,JPM,-0.7691928513094534,
XOM,USO,AAPL,-0.7832031630094445,
META,TLT,NVDA,-0.7917504325195817,
META,XOM,TLT,-0.7960462093056644,
META,JPM,AAPL,-0.8107585225240088,
AAPL,JPM,TSLA,-0.8152807619296762,
META,JPM,TLT,-0.8182204538233443,
NVDA,^VIX,TLT,-0.8274692146724713,
META,XOM,TSLA,-0.8336883956867568,
AAPL,JPM,MSFT,-0.8460350031168193,
NVDA,JPM,^VIX,-0.8522746646203837,
MSFT,USO,AAPL,-0.8566629695265175,
NVDA,TLT,JPM,-0.8626975961075577,
NVDA,XOM,TSLA,-0.86292832246933,
NVDA,JPM,GLD,-0.8640003638643126,
NVDA,MSFT,JPM,-0.864063064871847,
JPM,^VIX,USO,-0.8691866249472678,
META,TLT,^VIX,-0.873451360041455,
AMZN,JPM,TLT,-0.8813763023832654,
TSLA,AMZN,NVDA,-0.8867137099912543,
META,GLD,AMZN,-0.8905166726051071,
NVDA,GLD,TLT,-0.8947513899691252,
NVDA,GLD,AMZN,-0.8947513899691252,
NVDA,GLD,META,-0.8963085895922686,
NVDA,^VIX,GLD,-0.9002012669838036,
AAPL,JPM,NVDA,-0.903125997943921,
JPM,^VIX,GLD,-0.9168858322882112,
MSFT,^VIX,TSLA,-0.9283404343020758,
MSFT,^VIX,AMZN,-0.9423688141541987,
AAPL,JPM,TLT,-0.9444068736364339,
MSFT,XOM,^VIX,-0.9459146070463615,
AAPL,MSFT,^VIX,-0.9475526283938149,
NVDA,MSFT,TLT,-0.9497784551333769,
JPM,GLD,AMZN,-0.950113283336557,
AMZN,GLD,JPM,-0.9520627050998434,
TSLA,AMZN,JPM,-0.9520627494136802,
NVDA,^VIX,AAPL,-0.9626871840201846,
XOM,GLD,AMZN,-0.9641291613119547,
XOM,GLD,TLT,-0.9641291613119547,
XOM,GLD,META,-0.9646516512521756,
GLD,TLT,XOM,-0.9659530878479824,
AMZN,GLD,XOM,-0.9659530878479824,
AMZN,JPM,XOM,-0.9662601546165189,
JPM,TLT,^VIX,-0.9663219896432741,
JPM,TLT,AMZN,-0.9726792984628821,
MSFT,USO,META,-0.9777169477020595,
JPM,GLD,AAPL,-0.9796195576765299,
NVDA,AMZN,MSFT,-0.9860592637981197,
AAPL,AMZN,TLT,-0.9866083686420405,
JPM,^VIX,AMZN,-0.9910735085324996,
JPM,GLD,XOM,-0.9969034710760489,
JPM,XOM,GLD,-0.9999968228925413,
XOM,GLD,JPM,-0.9999999999999997,
AAPL,META,JPM,-0.9999999999999997,
JPM,TLT,GLD,-1.0006824240248344,
AMZN,GLD,^VIX,-1.0155126903871048,
AMZN,XOM,USO,-1.0160035459983718,
TSLA,XOM,META,-1.027029109059857,
NVDA,^VIX,MSFT,-1.0307874851314858,
TSLA,TLT,NVDA,-1.031173527457249,
USO,^VIX,AAPL,-1.0331002804230862,
AAPL,XOM,AMZN,-1.039194973521582,
AAPL,^VIX,XOM,-1.047669567457939,
AAPL,XOM,TLT,-1.0533278005985602,
XOM,GLD,USO,-1.0615938639656406,
TSLA,^VIX,NVDA,-1.066639623859454,
AMZN,XOM,TSLA,-1.0689844214456763,
META,^VIX,TLT,-1.0700667645233664,
MSFT,XOM,AAPL,-1.0741911403875604,
JPM,^VIX,MSFT,-1.0842204401861952,
AMZN,TLT,MSFT,-1.1024898592994574,
JPM,^VIX,AAPL,-1.1044027274449855,
XOM,GLD,MSFT,-1.1070804230485372,
MSFT,USO,^VIX,-1.1102391313832305,
AAPL,XOM,NVDA,-1.112376155782897,
XOM,USO,TSLA,-1.112912392595481,
MSFT,GLD,AMZN,-1.1162721670735325,
AAPL,GLD,MSFT,-1.1169174612527197,157.0
TSLA,META,USO,-1.1191681863984295,
TSLA,GLD,XOM,-1.1197561456015117,
GLD,^VIX,MSFT,-1.1232873150460354,
META,TLT,USO,-1.1261572547822174,
TSLA,JPM,AMZN,-1.1294278272600684,
MSFT,JPM,AAPL,-1.1319106683258533,
USO,^VIX,AMZN,-1.1346927494771253,
GLD,USO,AAPL,-1.1378222627170453,
JPM,TLT,XOM,-1.141189236691116,
MSFT,JPM,^VIX,-1.1443175523446922,
META,USO,GLD,-1.1511474002130806,
JPM,XOM,USO,-1.1515317559763858,
GLD,USO,XOM,-1.1617756737476697,
AAPL,TLT,META,-1.1625574426314198,
AAPL,USO,GLD,-1.1635631377410258,
JPM,TLT,META,-1.175476912010576,
META,GLD,NVDA,-1.178152218231736,
MSFT,^VIX,AAPL,-1.1782112049849989,
XOM,TLT,AMZN,-1.1844444903123967,
TSLA,AMZN,META,-1.1862271982028434,
META,USO,TSLA,-1.1870076842499273,
AMZN,JPM,TSLA,-1.2047786356097627,
XOM,^VIX,USO,-1.2081351648179262,
AMZN,GLD,AAPL,-1.2090408736594584,
TSLA,META,TLT,-1.2091863029413852,
MSFT,GLD,AAPL,-1.2111257320351352,
USO,TLT,^VIX,-1.2158798119735923,
AAPL,XOM,META,-1.2170204035260466,
NVDA,AAPL,MSFT,-1.219622263538525,204.0
AMZN,^VIX,USO,-1.224024639955085,
NVDA,TLT,MSFT,-1.2373510851059635,
MSFT,^VIX,NVDA,-1.2381279236139644,
MSFT,^VIX,XOM,-1.2390232305735953,
NVDA,META,GLD,-1.2391807995881658,
AMZN,GLD,META,-1.2516094886647502,
AAPL,MSFT,JPM,-1.2560799547823982,
TSLA,MSFT,AAPL,-1.2565465249155003,
NVDA,AMZN,^VIX,-1.2595917037747628,
AAPL,MSFT,USO,-1.2725816559493772,
NVDA,TLT,GLD,-1.2750943749489887,
NVDA,AMZN,GLD,-1.2750943749489887,
GLD,^VIX,JPM,-1.2829029217250523,
MSFT,TLT,^VIX,-1.2854627443946038,
GLD,^VIX,NVDA,-1.2864222187872663,
MSFT,TLT,USO,-1.2905204676314517,
NVDA,META,AMZN,-1.2973335263777552,
GLD,TLT,AAPL,-1.3196071658186919,
TSLA,AAPL,^VIX,-1.3198663755979732,
MSFT,XOM,TLT,-1.3228059527126508,
GLD,USO,NVDA,-1.3297683010175592,
AAPL,USO,NVDA,-1.3307350816109043,
META,TLT,MSFT,-1.3386589938548503,
TSLA,USO,AMZN,-1.344119043897193,
TSLA,GLD,AMZN,-1.3469045853730863,
NVDA,TLT,TSLA,-1.3691333181536143,
NVDA,^VIX,USO,-1.375182759587095,
AAPL,USO,XOM,-1.3755849803300102,
XOM,GLD,AAPL,-1.3809305281653894,
META,JPM,AMZN,-1.3824514973766702,
NVDA,^VIX,META,-1.3895194580187125,
JPM,TLT,MSFT,-1.3901984942096277,
AMZN,META,MSFT,-1.3939863625191662,
XOM,TLT,JPM,-1.3959758609059927,
META,^VIX,GLD,-1.3984079847876258,
TSLA,GLD,MSFT,-1.398545397538607,
META,GLD,XOM,-1.403812860405446,
XOM,TLT,MSFT,-1.4075195146507389,
TSLA,USO,^VIX,-1.4148800435240785,
TSLA,XOM,MSFT,-1.4153785114019841,237.0
MSFT,AMZN,GLD,-1.4166261716673043,
MSFT,TLT,META,-1.4187523871707421,
META,XOM,^VIX,-1.42642371964832,
MSFT,USO,JPM,-1.4402543215021724,
AAPL,META,MSFT,-1.4454518894501154,
META,^VIX,USO,-1.4466775088485935,
AMZN,GLD,TSLA,-1.4532472926105002,
TSLA,NVDA,^VIX,-1.4584174204898939,
AMZN,USO,TSLA,-1.4638658625912375,
TLT,^VIX,NVDA,-1.4673158135936262,
TSLA,^VIX,GLD,-1.4834281094028823,
AAPL,AMZN,TSLA,-1.484055772162685,
TSLA,^VIX,TLT,-1.4884973006352809,
TSLA,AMZN,^VIX,-1.5025006665656624,
XOM,^VIX,AAPL,-1.509569945258355,
TSLA,GLD,TLT,-1.5164285129040052,
META,TLT,JPM,-1.5270647478478514,
MSFT,AMZN,NVDA,-1.5311981042810685,
TSLA,^VIX,META,-1.5382241890392896,
TSLA,NVDA,USO,-1.5422683609977883,
TSLA,JPM,USO,-1.54524479573216,
TSLA,^VIX,JPM,-1.5471423029535687,
JPM,XOM,TLT,-1.547453163777757,
MSFT,META,TLT,-1.5496199779398467,
NVDA,XOM,USO,-1.5561694161823265,
META,USO,TLT,-1.559420928766285,
AAPL,XOM,TSLA,-1.5595682280311112,
TSLA,META,AMZN,-1.563026010605029,
NVDA,XOM,AMZN,-1.5677472785240505,
AMZN,^VIX,TSLA,-1.5834315759450661,
JPM,USO,NVDA,-1.5872108227928132,
JPM,GLD,NVDA,-1.592496141033725,
MSFT,XOM,TSLA,-1.5932139971181916,
META,^VIX,AMZN,-1.5944044400503938,
NVDA,META,AAPL,-1.5964183589705374,233.0
TSLA,AMZN,USO,-1.5999582421446592,
TSLA,MSFT,JPM,-1.6019157627877376,
META,JPM,^VIX,-1.610307205052246,
TSLA,JPM,XOM,-1.6144077719055612,
META,^VIX,XOM,-1.6157676671663515,
AAPL,^VIX,NVDA,-1.629988634836702,
NVDA,USO,^VIX,-1.6311528138407014,
AMZN,XOM,TLT,-1.6356913216017095,
AAPL,MSFT,TSLA,-1.6374400561297675,
NVDA,AAPL,^VIX,-1.6405558930329196,
TSLA,AMZN,XOM,-1.6462227789221928,
USO,^VIX,MSFT,-1.6469449271245007,
AMZN,XOM,MSFT,-1.6531240611367914,
AMZN,USO,MSFT,-1.656443678901444,
MSFT,JPM,TSLA,-1.6619046599500547,
NVDA,META,XOM,-1.6637868143077232,
JPM,^VIX,TLT,-1.670621927120402,
MSFT,GLD,^VIX,-1.6809539915497784,
TLT,^VIX,TSLA,-1.6836011839562097,
NVDA,JPM,AMZN,-1.6849011200638482,
MSFT,META,GLD,-1.6860689457166593,
AAPL,JPM,GLD,-1.6916780261294735,
XOM,^VIX,GLD,-1.6921589593351727,
TSLA,AAPL,TLT,-1.6957451922687594,
AAPL,JPM,META,-1.6962164070078276,
META,^VIX,AAPL,-1.6981747820258497,
AAPL,GLD,^VIX,-1.6994394978546685,
TSLA,GLD,NVDA,-1.7046717389316637,
TLT,^VIX,AMZN,-1.7122224642675175,
JPM,XOM,MSFT,-1.7136546844450673,
AAPL,MSFT,META,-1.7242630100405454,
AMZN,META,XOM,-1.7297931486657385,
META,^VIX,MSFT,-1.7318134641880054,
AMZN,META,JPM,-1.735025525673272,
META,TLT,GLD,-1.736077177645389,
NVDA,JPM,MSFT,-1.7375209094031496,
META,XOM,USO,-1.740733850705665,
MSFT,TLT,NVDA,-1.744890940280558,
JPM,TLT,TSLA,-1.7449096822237364,
JPM,USO,AAPL,-1.7494675761974712,
META,^VIX,NVDA,-1.750922624949392,
MSFT,XOM,USO,-1.7517981161908167,
META,GLD,TLT,-1.7525041781335604,
AAPL,USO,TLT,-1.7541364647543047,
NVDA,META,MSFT,-1.7562351297538787,
NVDA,JPM,AAPL,-1.7576972626910286,
XOM,TLT,NVDA,-1.7589097593264593,
NVDA,GLD,^VIX,-1.7720782449028871,
AAPL,XOM,^VIX,-1.7735003356614827,
NVDA,AMZN,TSLA,-1.77864557239072,
XOM,USO,AMZN,-1.7797205753201684,
AAPL,GLD,NVDA,-1.7831359185779783,
MSFT,USO,TLT,-1.7836035723431867,
NVDA,USO,AAPL,-1.7872675285514639,
AAPL,TLT,MSFT,-1.7872957056204362,
AMZN,META,USO,-1.7934084827681203,
TSLA,AAPL,META,-1.7993573795279123,
AAPL,META,^VIX,-1.8007272144880224,
META,USO,AMZN,-1.8039892740212302,
AAPL,XOM,JPM,-1.8063353296383007,
JPM,^VIX,META,-1.809278883393867,
AAPL,MSFT,GLD,-1.8150076225039071,
JPM,TLT,NVDA,-1.8175853161732356,
TSLA,AMZN,MSFT,-1.82306709519136,
USO,^VIX,NVDA,-1.8240881387876093,
AAPL,MSFT,TLT,-1.8302198867959802,
NVDA,AAPL,TLT,-1.833048077186146,
MSFT,^VIX,TLT,-1.8335228100226422,
AAPL,GLD,TSLA,-1.8367486231992942,
META,^VIX,TSLA,-1.83822157331382,
AAPL,META,TSLA,-1.838568710032572,
MSFT,TLT,AAPL,-1.8403806430364704,
TSLA,AAPL,GLD,-1.8409765810186982,
AMZN,TLT,NVDA,-1.845708677209471,
TSLA,META,NVDA,-1.8467660796455696,
MSFT,^VIX,GLD,-1.854567752541856,
AAPL,META,GLD,-1.8559290733605163,
NVDA,JPM,TLT,-1.8579541302787825,
AMZN,^VIX,XOM,-1.8609664649354054,
AAPL,META,USO,-1.8664294739954657,
MSFT,AMZN,XOM,-1.8692564703350498,
TSLA,USO,JPM,-1.8699731787018776,
MSFT,META,AMZN,-1.870448942519359,
TSLA,XOM,GLD,-1.8740575135800752,
AMZN,TLT,USO,-1.8754380723341917,
META,TLT,TSLA,-1.8784748048659627,
TSLA,USO,MSFT,-1.8807141794863291,
MSFT,USO,XOM,-1.8810982192013135,
META,GLD,TSLA,-1.8817728459832572,
NVDA,^VIX,AMZN,-1.8865124265090805,
GLD,USO,^VIX,-1.8875976861116655,
MSFT,GLD,USO,-1.8908496982284804,
GLD,^VIX,AMZN,-1.892103327680053,
JPM,XOM,META,-1.8931038020023219,
NVDA,USO,MSFT,-1.8969711299967786,
NVDA,^VIX,TSLA,-1.8990716334743287,
AMZN,META,TSLA,-1.8998848243206483,
TSLA,NVDA,AMZN,-1.9000672139978263,
AAPL,^VIX,META,-1.9102835453416511,
TSLA,AAPL,NVDA,-1.9125541457358015,
NVDA,META,TLT,-1.9173307798906267,
NVDA,AMZN,TLT,-1.9191037570203127,
AAPL,USO,META,-1.9233592920909734,
MSFT,JPM,AMZN,-1.9238894958270416,
MSFT,XOM,NVDA,-1.9278853889373924,
MSFT,META,TSLA,-1.9280032529506448,
TSLA,GLD,AAPL,-1.9328860273922162,
MSFT,META,JPM,-1.9442093761332613,
MSFT,JPM,TLT,-1.944459141898864,
META,JPM,XOM,-1.945812262097055,
JPM,^VIX,NVDA,-1.946980263215253,
AAPL,TLT,TSLA,-1.9481666724754074,
JPM,XOM,^VIX,-1.9513290856204346,
TSLA,USO,NVDA,-1.952988125459869,
NVDA,JPM,META,-1.9578912799769144,
TSLA,META,GLD,-1.9635499335876765,
AMZN,USO,TLT,-1.9647614206888755,
XOM,^VIX,NVDA,-1.96493136958676,
JPM,GLD,MSFT,-1.9689450677071674,
MSFT,USO,AMZN,-1.9704967993222418,
XOM,USO,META,-1.9788416527928032,
JPM,XOM,AMZN,-1.979537132449927,
AAPL,TLT,AMZN,-1.984842158127897,
TSLA,XOM,NVDA,-1.9972238955901047,
TSLA,XOM,AAPL,-1.9973658543969723,
NVDA,USO,TLT,-1.9997017354696465,
MSFT,^VIX,META,-1.9998951550618982,
MSFT,JPM,XOM,-2.0009324401117445,
XOM,GLD,TSLA,-2.007099869518385,
AMZN,^VIX,META,-2.0079448587202102,
META,JPM,GLD,-2.01064888871814,
META,GLD,JPM,-2.0119937998973128,
TSLA,NVDA,META,-2.012026601539807,
JPM,GLD,TLT,-2.015370531585304,
USO,TLT,NVDA,-2.020300126712496,
XOM,USO,GLD,-2.028029379640141,
TSLA,AMZN,AAPL,-2.030935721070377,
AMZN,USO,NVDA,-2.031067737426335,202.0
AAPL,META,TLT,-2.031679006558072,
NVDA,AAPL,META,-2.0320091760217727,204.0
XOM,TLT,TSLA,-2.0333795397956136,
AMZN,XOM,META,-2.046540184491684,
TLT,^VIX,XOM,-2.0487997937679863,
GLD,USO,META,-2.053904084677838,
META,XOM,GLD,-2.0551495263264,
NVDA,JPM,XOM,-2.0620590177782354,
NVDA,GLD,USO,-2.067332302217469,
AAPL,GLD,USO,-2.06877764705906,
AAPL,TLT,NVDA,-2.074691058065232,
MSFT,TLT,GLD,-2.0778385422859698,
TSLA,AAPL,MSFT,-2.0790706780412047,
MSFT,TLT,JPM,-2.079496331891999,
TSLA,TLT,META,-2.0798449314497756,
AAPL,JPM,USO,-2.080456002788699,
TSLA,MSFT,XOM,-2.0868072404745615,
META,USO,XOM,-2.0898549812554075,
AAPL,AMZN,GLD,-2.0972542315550706,
TSLA,^VIX,USO,-2.1024767087844687,
JPM,USO,AMZN,-2.1044944987754444,
TSLA,^VIX,AAPL,-2.1143136451085556,
AMZN,^VIX,NVDA,-2.117851277369257,
MSFT,TLT,AMZN,-2.1186107926213715,
MSFT,AMZN,TSLA,-2.1240297520300246,
TSLA,NVDA,GLD,-2.124765300905157,
MSFT,TLT,XOM,-2.1262001934661745,
AMZN,USO,GLD,-2.129125828812224,
NVDA,MSFT,GLD,-2.131183049074192,
TSLA,AAPL,AMZN,-2.1406310738240406,
MSFT,JPM,USO,-2.147892034160085,
MSFT,META,NVDA,-2.154118083257681,
JPM,TLT,USO,-2.155812477587406,
AMZN,JPM,USO,-2.1753775617429025,
AAPL,USO,AMZN,-2.1851868562813337,
META,JPM,MSFT,-2.1873146978167535,
NVDA,^VIX,XOM,-2.18788567252533,
TLT,^VIX,META,-2.1896674591952725,
JPM,USO,MSFT,-2.19126735174404,
TSLA,AAPL,JPM,-2.201567321986676,
TSLA,META,AAPL,-2.201720414922057,
NVDA,AMZN,AAPL,-2.2024821968688237,
USO,TLT,AMZN,-2.206866945941346,
AAPL,GLD,TLT,-2.208571873327523,
NVDA,MSFT,XOM,-2.2098051960532046,
AMZN,TLT,META,-2.224947711885099,
JPM,TLT,AAPL,-2.2372248512468915,
META,USO,MSFT,-2.249287747746323,
TSLA,TLT,AMZN,-2.2496503062603073,
USO,TLT,GLD,-2.261422713137231,
AAPL,USO,TSLA,-2.266535987151892,
TLT,^VIX,GLD,-2.2749621944778355,
TSLA,JPM,MSFT,-2.2809561042388458,
NVDA,^VIX,JPM,-2.292797266214612,
GLD,TLT,^VIX,-2.2968725958224208,
META,USO,AAPL,-2.297257758489085,
GLD,^VIX,TLT,-2.2976847392852617,
META,GLD,MSFT,-2.3029187832829714,
MSFT,TLT,TSLA,-2.314071291714382,
NVDA,GLD,JPM,-2.3171898116228236,
MSFT,GLD,TSLA,-2.3213967793022863,
AAPL,META,NVDA,-2.3242425995043896,240.0
XOM,TLT,^VIX,-2.3330910918507204,
META,XOM,AMZN,-2.3393753514667828,
META,GLD,USO,-2.3407474634036296,
TSLA,XOM,AMZN,-2.3407501570348517,
GLD,TLT,MSFT,-2.34205579446478,
TSLA,NVDA,TLT,-2.3459943411871675,
AAPL,TLT,GLD,-2.3583193846159065,
XOM,^VIX,JPM,-2.3628585624644107,
NVDA,TLT,AAPL,-2.3630462804489754,
META,JPM,TSLA,-2.365722910234396,
TSLA,^VIX,MSFT,-2.3668523126311363,
META,JPM,USO,-2.373730940288971,
AAPL,USO,MSFT,-2.3738353108668,
AAPL,GLD,META,-2.400607767486603,
GLD,USO,TLT,-2.4099116972070234,
MSFT,XOM,META,-2.411853434535736,
XOM,^VIX,TSLA,-2.416847067695612,
AMZN,^VIX,JPM,-2.4230200863248976,
MSFT,GLD,META,-2.4362646050347236,
USO,TLT,META,-2.436929976328986,
AMZN,^VIX,AAPL,-2.4512097015780614,
GLD,USO,JPM,-2.4537234093948386,
GLD,USO,TSLA,-2.4716673025092297,
GLD,TLT,USO,-2.4758066817658513,
MSFT,AMZN,JPM,-2.476987146582811,
AAPL,JPM,AMZN,-2.4812291714970893,
NVDA,TLT,META,-2.4883122936159685,
GLD,^VIX,XOM,-2.4914732170734997,
AAPL,MSFT,AMZN,-2.497704904526016,
XOM,USO,MSFT,-2.510187757677,
MSFT,META,XOM,-2.5135601480530645,
AAPL,TLT,JPM,-2.5143921694690663,
AAPL,USO,^VIX,-2.5303397622114225,
TSLA,META,MSFT,-2.53289664447352,
AMZN,XOM,AAPL,-2.5370266426526684,
GLD,USO,AMZN,-2.5476414977696837,
META,XOM,JPM,-2.548698503719771,
TSLA,TLT,AAPL,-2.556160590463668,
NVDA,USO,XOM,-2.575326088430171,
GLD,USO,MSFT,-2.588032925404045,
NVDA,AMZN,JPM,-2.5928787235199877,
MSFT,AMZN,USO,-2.5952551629080167,
AAPL,GLD,XOM,-2.6009925136532988,
AMZN,^VIX,MSFT,-2.6138426407741435,
TSLA,JPM,META,-2.6218672571032458,
TSLA,^VIX,XOM,-2.629000372845701,
MSFT,XOM,GLD,-2.6291612373099804,
TSLA,USO,META,-2.6316346988445347,
AMZN,META,TLT,-2.6336768877575913,
JPM,^VIX,XOM,-2.6410098182818476,
XOM,^VIX,MSFT,-2.6433311292940256,
TSLA,META,^VIX,-2.646690394042603,
AAPL,AMZN,XOM,-2.6622863761411746,
GLD,^VIX,USO,-2.6818990730375045,
TSLA,META,XOM,-2.686585217505289,
AMZN,TLT,TSLA,-2.7020636838910628,
NVDA,META,TSLA,-2.7045296357954483,
TSLA,AAPL,XOM,-2.710054485883834,
TSLA,MSFT,TLT,-2.720400800809836,
NVDA,AMZN,XOM,-2.7274438375800556,
TSLA,USO,TLT,-2.7285209663027237,
MSFT,XOM,JPM,-2.731266212730938,
AAPL,GLD,AMZN,-2.748556631119615,
TSLA,MSFT,USO,-2.7538062411267488,
GLD,^VIX,META,-2.7650555565623134,
GLD,^VIX,TSLA,-2.7782026299854903,
TSLA,GLD,META,-2.7864795814998065,
AMZN,USO,META,-2.7951638321151284,
META,USO,JPM,-2.8082094983066277,
TLT,^VIX,AAPL,-2.817729988429116,
TSLA,JPM,AAPL,-2.820365684586843,
XOM,^VIX,AMZN,-2.824859554385713,
GLD,^VIX,AAPL,-2.8333727493740875,
TSLA,META,JPM,-2.835183609895628,
MSFT,USO,TSLA,-2.8428640329821695,
JPM,USO,^VIX,-2.8447008273065655,
TSLA,GLD,^VIX,-2.8533093611179248,
NVDA,AAPL,AMZN,-2.8564580031352738,
TSLA,^VIX,AMZN,-2.859177456400954,
AMZN,XOM,NVDA,-2.860984790363927,
AMZN,META,GLD,-2.862844300683557,
AAPL,^VIX,MSFT,-2.9115036866975847,
JPM,^VIX,TSLA,-2.9124089817700463,
TSLA,MSFT,META,-2.9240389388508934,
JPM,GLD,USO,-2.9249945878514225,
USO,^VIX,TSLA,-2.9283777182676327,
TSLA,AAPL,USO,-2.940491039938684,
MSFT,AMZN,TLT,-2.971292466001998,
MSFT,GLD,XOM,-2.97280812933413,
AAPL,^VIX,AMZN,-2.9739356662508416,
NVDA,TLT,XOM,-2.985323524680684,
TSLA,TLT,MSFT,-2.9870898762397813,
USO,^VIX,XOM,-2.988590875550666,
META,USO,NVDA,-3.0230130126025725,
AAPL,^VIX,JPM,-3.024729954700972,
AMZN,JPM,MSFT,-3.0268025600926585,
NVDA,XOM,^VIX,-3.028310083626347,
TLT,^VIX,USO,-3.0367148557431776,
MSFT,USO,NVDA,-3.036828448371296,
NVDA,USO,META,-3.0509623503866496,
AMZN,GLD,TLT,-3.08135161015482,
USO,^VIX,GLD,-3.087356434121318,
MSFT,AMZN,AAPL,-3.1075059842089168,
USO,^VIX,JPM,-3.114342513507224,
AMZN,USO,^VIX,-3.117395797730177,
TSLA,XOM,USO,-3.121749808077925,
AAPL,^VIX,TSLA,-3.1428784700992156,
MSFT,JPM,META,-3.1732070363773017,
XOM,^VIX,TLT,-3.181168061390111,
TSLA,MSFT,^VIX,-3.192003589594327,
NVDA,TLT,AMZN,-3.206190793498389,
AMZN,XOM,JPM,-3.2259597087717826,
NVDA,META,JPM,-3.24084851497046,
